id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,location
10395463,HZ131656,2016-01-28T09:40:00,027XX E 89TH ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,423,4,7,46,08A,41.73365047,-87.557845321,POINT(-87.557845321 41.73365047)
10395470,HZ131582,2016-01-28T09:30:00,001XX E CHICAGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),false,false,1833,18,42,8,14,41.896744235,-87.62348125,POINT(-87.62348125 41.896744235)
10395477,HZ131692,2016-01-28T00:00:00,010XX W 104TH ST,0810,THEFT,OVER $500,STREET,false,false,2232,22,34,73,06,41.705040446,-87.648917879,POINT(-87.648917879 41.705040446)
10395480,HZ131653,2016-01-28T11:00:00,036XX N MILWAUKEE AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,1731,17,38,16,15,41.946542477,-87.736084376,POINT(-87.736084376 41.946542477)
10395481,HZ131400,2016-01-28T00:00:00,047XX N KEYSTONE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1722,17,39,14,07,41.966791713,-87.729206687,POINT(-87.729206687 41.966791713)
10395489,HZ131593,2016-01-28T10:39:00,007XX W 48TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,935,9,11,61,14,41.807070867,-87.643867979,POINT(-87.643867979 41.807070867)
10395494,HZ131522,2016-01-28T09:00:00,073XX S EAST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,324,3,8,43,08B,41.761906345,-87.58356205,POINT(-87.58356205 41.761906345)
10395495,HZ131586,2016-01-28T10:10:00,068XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,332,3,5,43,14,41.770969165,-87.586268228,POINT(-87.586268228 41.770969165)
10395500,HZ131645,2016-01-28T10:50:00,074XX S BLACKSTONE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,324,3,5,43,04A,41.760340683,-87.588407406,POINT(-87.588407406 41.760340683)
10395501,HZ131530,2016-01-28T09:30:00,057XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,715,7,15,67,08B,41.789679672,-87.671754313,POINT(-87.671754313 41.789679672)
10395504,HZ131629,2016-01-28T10:30:00,072XX S MORGAN ST,0650,BURGLARY,HOME INVASION,RESIDENCE,false,false,733,7,17,68,05,41.762798979,-87.649206112,POINT(-87.649206112 41.762798979)
10395508,HZ131663,2016-01-28T11:20:00,037XX W DIVISION ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2535,25,27,23,18,41.902720595,-87.720590832,POINT(-87.720590832 41.902720595)
10395512,HZ131642,2016-01-28T10:15:00,002XX W MERCHANDISE MART PLZ,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,true,false,1831,18,42,8,26,41.887966168,-87.634790696,POINT(-87.634790696 41.887966168)
10395523,HZ131670,2016-01-28T10:49:00,120XX S YALE AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,523,5,34,53,26,41.675687748,-87.628598683,POINT(-87.628598683 41.675687748)
10395524,HZ131710,2016-01-28T11:20:00,020XX W CARROLL AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1223,12,27,28,06,41.88766399,-87.677553171,POINT(-87.677553171 41.88766399)
10395527,HZ131604,2016-01-28T01:30:00,046XX N LOWELL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1722,17,45,16,06,41.965590108,-87.737149332,POINT(-87.737149332 41.965590108)
10395532,HZ131705,2016-01-28T11:47:00,021XX N HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,BAR OR TAVERN,false,false,1812,18,43,7,26,41.920988402,-87.648606596,POINT(-87.648606596 41.920988402)
10395534,HZ131379,2016-01-28T06:00:00,081XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,622,6,21,44,14,41.746746705,-87.631772406,POINT(-87.631772406 41.746746705)
10395547,HZ131436,2016-01-28T07:40:00,006XX E 75TH ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,624,6,6,69,05,41.758524596,-87.608674667,POINT(-87.608674667 41.758524596)
10395548,HZ131727,2016-01-28T10:45:00,042XX W MADISON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,CONVENIENCE STORE,true,false,1115,11,28,26,18,41.880658176,-87.731212135,POINT(-87.731212135 41.880658176)
10395549,HZ131636,2016-01-28T10:36:00,092XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,634,6,21,49,08B,41.726528386,-87.629816395,POINT(-87.629816395 41.726528386)
10395558,HZ131737,2016-01-28T08:00:00,001XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1124,11,2,27,06,41.879517271,-87.696246466,POINT(-87.696246466 41.879517271)
10395567,HZ131578,2016-01-28T09:44:00,040XX N ELSTON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,true,false,1723,17,33,16,04B,41.954873349,-87.720870926,POINT(-87.720870926 41.954873349)
10395571,HZ131791,2016-01-28T08:00:00,011XX N MASSASOIT AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1511,15,29,25,08A,41.900889815,-87.769253682,POINT(-87.769253682 41.900889815)
10395583,HZ131736,2016-01-28T12:00:00,023XX S HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1034,10,25,31,14,41.849714841,-87.678227201,POINT(-87.678227201 41.849714841)
10395584,HZ131650,2016-01-28T11:15:00,039XX W 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,833,8,18,70,08B,41.751373141,-87.720962224,POINT(-87.720962224 41.751373141)
10395589,HZ131775,2016-01-28T11:30:00,049XX S ARCHER AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,821,8,14,57,08B,41.803201891,-87.72198373,POINT(-87.72198373 41.803201891)
10395601,HZ131772,2016-01-28T12:30:00,012XX W LELAND AVE,0560,ASSAULT,SIMPLE,ANIMAL HOSPITAL,false,true,1913,19,46,3,08A,41.967189655,-87.660150847,POINT(-87.660150847 41.967189655)
10395622,HZ131621,2016-01-28T10:40:00,135XX S AVENUE O,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,433,4,10,55,08B,41.649716203,-87.539892061,POINT(-87.539892061 41.649716203)
10395623,HZ131726,2016-01-28T10:36:00,094XX S ST LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,633,6,9,49,08B,41.723344058,-87.609344841,POINT(-87.609344841 41.723344058)
10395630,HZ131630,2016-01-28T09:30:00,002XX W MADISON ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,122,1,2,32,08B,41.881944424,-87.634195294,POINT(-87.634195294 41.881944424)
10395631,HZ131553,2016-01-28T09:50:00,037XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1011,10,24,29,08B,41.86625461,-87.718967674,POINT(-87.718967674 41.86625461)
10395632,HZ131418,2016-01-28T08:14:00,077XX S MARYLAND AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,true,624,6,6,69,06,41.754474895,-87.604043791,POINT(-87.604043791 41.754474895)
10395634,HZ131824,2016-01-28T13:10:00,052XX N SHERIDAN RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,2023,20,48,77,06,41.976851852,-87.654999693,POINT(-87.654999693 41.976851852)
10395644,HZ131801,2016-01-28T11:00:00,039XX N OCTAVIA AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,false,false,1631,16,36,17,03,41.951177014,-87.809634471,POINT(-87.809634471 41.951177014)
10395646,HZ131789,2016-01-28T12:06:00,002XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,true,false,114,1,42,32,26,41.886190872,-87.624527215,POINT(-87.624527215 41.886190872)
10395663,HZ131784,2016-01-28T12:15:00,049XX W HUBBARD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,1532,15,28,25,18,41.888655348,-87.749364087,POINT(-87.749364087 41.888655348)
10395664,HZ131755,2016-01-28T12:15:00,039XX W MADISON ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1122,11,28,26,18,41.880741309,-87.724597845,POINT(-87.724597845 41.880741309)
10395666,HZ131794,2016-01-28T10:30:00,053XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,231,2,3,40,14,41.797399927,-87.620914942,POINT(-87.620914942 41.797399927)
10395669,HZ131835,2016-01-28T12:11:00,035XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,14,35,21,06,41.939224931,-87.716602756,POINT(-87.716602756 41.939224931)
10395675,HZ131706,2016-01-28T08:55:00,010XX N SPRINGFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,false,false,1112,11,27,23,15,41.900020788,-87.723782972,POINT(-87.723782972 41.900020788)
10395682,HZ131833,2016-01-28T13:30:00,081XX S JUSTINE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,614,6,21,71,14,41.745961952,-87.662111471,POINT(-87.662111471 41.745961952)
10395687,HZ131773,2016-01-28T12:05:00,001XX S STATE ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,112,1,42,32,06,41.879876814,-87.627718261,POINT(-87.627718261 41.879876814)
10395699,HZ131836,2016-01-28T05:03:00,008XX E 87TH ST,0560,ASSAULT,SIMPLE,BANK,false,false,632,6,8,44,08A,41.735947956,-87.644489969,POINT(-87.644489969 41.735947956)
10395701,HZ131802,2016-01-28T12:05:00,013XX S CHRISTIANA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),VACANT LOT/LAND,true,false,1021,10,24,29,18,41.863916253,-87.709250452,POINT(-87.709250452 41.863916253)
10395609,HZ131579,2016-01-28T09:07:00,048XX S ASHLAND AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,BANK,false,false,933,9,20,61,11,41.806253938,-87.664908299,POINT(-87.664908299 41.806253938)
10395706,HZ131669,2016-01-28T11:10:00,037XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,212,2,4,36,08B,41.827318885,-87.607033458,POINT(-87.607033458 41.827318885)
10395710,HZ131790,2016-01-28T12:50:00,091XX S LAFLIN ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,2221,22,21,73,04B,41.728034349,-87.660404134,POINT(-87.660404134 41.728034349)
10395711,HZ131840,2016-01-28T13:00:00,087XX S EXCHANGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,423,4,10,46,14,41.736201386,-87.552791468,POINT(-87.552791468 41.736201386)
10395722,HZ131366,2016-01-28T06:57:00,003XX N LOREL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1523,15,28,25,14,41.886351901,-87.758955483,POINT(-87.758955483 41.886351901)
10395723,HZ131678,2016-01-28T10:30:00,048XX W OHIO ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,1532,15,28,25,08B,41.891372662,-87.74677209,POINT(-87.74677209 41.891372662)
10395729,HZ131521,2016-01-28T09:10:00,079XX S DREXEL AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,624,6,8,44,08B,41.750838669,-87.602743669,POINT(-87.602743669 41.750838669)
10395730,HZ131878,2016-01-28T07:00:00,022XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,ABANDONED BUILDING,false,false,1431,14,1,22,06,41.921098715,-87.694407322,POINT(-87.694407322 41.921098715)
10395736,HZ131811,2016-01-28T13:10:00,077XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,621,6,17,71,08B,41.753807493,-87.645336203,POINT(-87.645336203 41.753807493)
10395751,HZ131785,2016-01-28T12:45:00,122XX S ADA ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,false,true,524,5,34,53,03,41.671258607,-87.655091892,POINT(-87.655091892 41.671258607)
10395756,HZ131703,2016-01-28T11:40:00,019XX N SHEFFIELD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,1811,18,32,7,03,41.91688091,-87.653327759,POINT(-87.653327759 41.91688091)
10395758,HZ131813,2016-01-28T13:00:00,020XX W ADDISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1921,19,47,5,08B,41.946842065,-87.680229625,POINT(-87.680229625 41.946842065)
10395759,HZ131776,2016-01-28T12:30:00,099XX S WINCHESTER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,2213,22,19,72,26,41.713378177,-87.670533906,POINT(-87.670533906 41.713378177)
10395763,HZ131687,2016-01-28T11:00:00,0000X E 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,511,5,6,49,08B,41.72172175,-87.623352254,POINT(-87.623352254 41.72172175)
10395779,HZ131749,2016-01-28T12:15:00,007XX N THROOP ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1215,12,27,24,08A,41.895363963,-87.660413483,POINT(-87.660413483 41.895363963)
10395789,HZ131865,2016-01-28T13:25:00,058XX N LINCOLN AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,"SCHOOL, PUBLIC, BUILDING",false,false,2011,20,40,2,26,41.987362912,-87.702293402,POINT(-87.702293402 41.987362912)
10395790,HZ131890,2016-01-28T14:00:00,071XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,731,7,6,69,08B,41.764568009,-87.632190432,POINT(-87.632190432 41.764568009)
10395794,HZ131858,2016-01-28T12:15:00,043XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,true,false,1115,11,28,26,18,41.879661981,-87.733828657,POINT(-87.733828657 41.879661981)
10395795,HZ131795,2016-01-28T12:30:00,055XX W CORCORAN PL,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,1523,15,28,25,24,41.887240699,-87.763846645,POINT(-87.763846645 41.887240699)
10396340,HZ132549,2016-01-28T16:30:00,042XX N LINCOLN AVE,0810,THEFT,OVER $500,STREET,false,false,1911,19,47,5,06,41.958026301,-87.681472088,POINT(-87.681472088 41.958026301)
10395799,HZ131879,2016-01-28T12:14:00,043XX W MONROE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1115,11,28,26,18,41.879658467,-87.734206913,POINT(-87.734206913 41.879658467)
10395800,HZ131904,2016-01-28T13:22:00,010XX N RIDGEWAY AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1112,11,27,23,18,41.899529208,-87.720107093,POINT(-87.720107093 41.899529208)
10395805,HZ131724,2016-01-28T12:10:00,071XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,832,8,18,66,06,41.764151886,-87.683229302,POINT(-87.683229302 41.764151886)
10395806,HZ131873,2016-01-28T07:00:00,079XX S STATE ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,623,6,6,44,05,41.749797723,-87.624512495,POINT(-87.624512495 41.749797723)
10395814,HZ131720,2016-01-28T11:30:00,014XX S ROCKWELL ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,1023,10,28,29,04A,41.861600002,-87.690818686,POINT(-87.690818686 41.861600002)
10395815,HZ131819,2016-01-28T12:00:00,071XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,DRUG STORE,false,false,333,3,5,43,08B,41.765755571,-87.576292427,POINT(-87.576292427 41.765755571)
10395821,HZ131935,2016-01-28T14:25:00,005XX S KOSTNER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESTAURANT,true,false,1131,11,24,26,18,41.873815786,-87.735227148,POINT(-87.735227148 41.873815786)
10395828,HZ131829,2016-01-28T13:20:00,077XX S INGLESIDE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,624,6,8,69,08B,41.754168689,-87.601635756,POINT(-87.601635756 41.754168689)
10395832,HZ131918,2016-01-28T14:15:00,034XX W 116TH PL,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2211,22,19,74,08B,41.681433788,-87.706166325,POINT(-87.706166325 41.681433788)
10395840,HZ131938,2016-01-28T12:00:00,049XX S CHICAGO BEACH DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,222,2,4,39,14,41.805434202,-87.584518215,POINT(-87.584518215 41.805434202)
